ID,System/Slice,Item,What parity requires,Current Everkai status,Source of truth,Numbers-or-Flow,Effort,Priority,Sprint,Status,Notes/Evidence
SL1-01,Buildings,Income model rewrite,income = (staff x yieldRate + totalFellowPower x HeroConversionRate/10000) x (10000 + bonus)/10000,"Both terms now exist: enterpriseBreakdown = (employees + operation) x (1 + bonus), where operation = rosterOperation = sum(bondedPower/1000). Workers still dominate: MEASURED 2026-09-12 at 5,000 staff with all 154 Fellows, worker share of pre-bonus income is 99.69% at Fellow level 1 and 68.28% at level 750.",village.py reading BuildingBase / BuildingQuality / BuildingLevel / BuildingBusiness / CityBank; cross-checked against live client top bar,Numbers (trusted exception),L,P0,1,Fixed,"[FIXED 2026-09-15 -- the formula is right AND its one unsourced constant is now sourced.] The parity formula in column D is income = (staff x yieldRate + totalFellowPower x HeroConversionRate/10000) x (10000+bonus)/10000. Everkai computes (employeeIncome + rosterOperation) x (1 + bonus) where bonus is already in ten-thousandths -- the same three terms in the same shape. THE DIVISOR IS NOT A LOCAL GUESS: lib/businesses.mjs:80 carried the comment 'Local divisor and independent player reports support total roster Power', dividing by 1000. MEASURED 2026-09-15: BuildingBase.HeroConversionRate is 10 on all seventeen non-Bank buildings (0 on the Bank, which earns nothing), so the original's divisor is 10000/10 = 1000 -- byte-for-byte what Everkai uses. Both halves named: original = BuildingBase.json; formula = this row / village.py. The comment is corrected in place. What remains short is the SIZE of the power term, which is SL1-14's row and already measured at 1.19x."
SL1-02,Buildings,Workers are \~0.5% of income,Income is driven by total Fellow combat power and the additive bonus stack; buildings convert power into gold. Worker count is a minor term.,"NOT 'worker count is the whole model' any more. MEASURED: 5,000 staff + 154 Fellows = power term 15.4 at level 1 (99.69% workers) and 2,322.3 at level 750 (68.28% workers). The power term is live and level-scaled.","Measured decomposition: Inn staff term 18,000 vs hero conversion 3,497,276, then multiplied \~208x",Numbers (trusted exception),n/a,P0,1,Fixed,"[REFUTED AND CLOSED 2026-09-15 -- the inversion was a both-halves-from-different-states error, CLAUDE.md rule 1.] This row compared EVERKAI AT FELLOW LEVEL 1 against THE ORIGINAL'S FULLY-TRAINED LIVE SAVE. Measured at the SAME state as the original's own decomposition (one building, maxed roster): original = staff 18,000 vs hero conversion 3,497,276 = workers 0.51%; Everkai at its reachable power ceiling 3,026,482 (tests/fellow-power.test.mjs) with the same 18,000-staff shape = workers 0.59%. That is a 1.16x difference, and it is ENTIRELY accounted for by the known 1.19x power-term shortfall in SL1-14 -- there is no separate model defect. The 99.69% figure is real but is Everkai at Fellow level 1, where the original would also read ~100% workers; measured at 5,000 staff: level 1 -> 99.68% workers, level-only roster -> 96.09%, default-mode maxed fixture -> 0.55%, reachable ceiling -> 0.16%. Everkai's worker share at parity state is if anything slightly LOWER than the original's, not 200x higher. Nothing to rewrite; SL1-01 carries the formula and SL1-14 carries the remaining size gap."
SL1-03,Buildings,Separate quality from staff count,"Three distinct ladders: 'Building Level' in the UI = quality (max 26, drives yieldRise -- CORRECTED 2026-09-12: 15 is BuildingQualityInitialLimit, the INITIAL cap, not the maximum); the number under the village nameplate = staff count; 'Service Level' = bsLevel",Everkai conflates quality with staff count in both state and UI,docs/slice-buildings.md section 1; BuildingQuality,Flow,M,P0,1,Fixed,"[FIXED 2026-09-15] Quality is now a FIELD (`quality`, with `qualityBase`) on each enterprise row, independent of headcount -- lib/staffing.mjs enterpriseQuality/qualityBaseOf. It was previously DERIVED from staff count by coverage(n)=ceil(n/1000) inside apkStaffing, which is literally the conflation this row describes. coverage() is retained ONLY as the legacy read-forward rule, and it is provably the right one: MEASURED 2026-09-15, BuildingQuality.levelLimit === 1000*Quality on all 468 non-Bank rows with zero exceptions, so coverage(n) is exactly the minimum tier admitting n staff. No save migration and no SAVE_VERSION bump: absent fields validate exactly as strictly as the `employees<=5000` rule they replace (negative-controlled). Confirms this row's own correction that 26 is the maximum and 15 is BuildingQualityInitialLimit -- System.json carries BuildingQualityInitialLimit=15 and the table carries 26 tiers."
SL1-04,Buildings,Quality ladder (yieldRise),"quality 1-26 grants yieldRise as an additive bonus in ten-thousandths, rendered as 'Earnings Rate 3000%'","Still unreachable in a default save: businessBonus reads staffingStatus(id,b)?.bonus, which needs b.apkStaffing, which needs originalProgression(s). qualityBonus is 0 outside APK-growth mode.",BuildingQuality.json (469 rows),Numbers (trusted exception),M,P0,1,Fixed,"[FIXED 2026-09-15] The quality ladder is reachable in a DEFAULT save. businessBonus read `staffingStatus(id,b)?.bonus||0`, which is 0 unless the player opted into APK growth; it now falls back to defaultQualityBonus(id,b) = (yieldRise(quality)-yieldRise(qualityBase))/10000. claimStaffingMaterials and upgradeStaffQuality are ungated (lib/staffing.mjs staffingAction), and the Inn/business scene renders the quality row and a materials button for every save, not only paid ones (app/inn-business-scene.tsx). Ladder confirmed against the original: 26 tiers to yieldRise 1,120,000 = +11,200%, costing 25,915 materials for the Inn (25.9 days at MATERIALS_PER_DAY=1000) and 25,915 to 91,995 across the seventeen. GRANDFATHERING: a pre-existing row at 5,000 staff reads as tier 5 and earns +0% for it, so no live save gains income it did not pay materials for -- the policy app/paid-staffing.tsx already stated for the paid path. Integrity: qualityMaterialSpend feeds the reserve identity granted===stock+spent, so a forged `quality:26` needs 25,915 real materials. MEASURED INCOME IMPACT (both halves Everkai, same seeded state, strand off vs on): day 1 x1.07, day 7 x1.22, day 14 x1.31, day 30 x1.52, day 365 x18.84. Days 7/14 are well inside the 2x band; the 365-day figure is the ladder's designed end state and is measured with NO other bonus strand present, so it is an upper bound -- the strand is additive into a stack SL1-13 measured at x125.9 by 6 months, where one maxed building is (1+125.9+112)/(1+125.9) = x1.88. Tests: tests/staffing.test.mjs, 8 negative controls, and the ledger negative-controlled by disabling qualityMaterialSpend (test goes red)."
SL1-05,Buildings,Hiring cost curve,"staff_cost = addStaffCost/10000 x sum of coefficient(level), compounding BuildingLevel.consumeCoefficient across 57 staff bands",CORRECT AND NOW THE DEFAULT PATH. hireEmployees charges the recovered curve on every hire; the free door is gone.,BuildingLevel.json (57 rows); lib/staffing-data.json bands[],Numbers (trusted exception),S,P2,1,Done,"[RESOLVED; re-confirmed 2026-09-15] lib/businesses.mjs hireQuote() priced, gold debited, refused when unaffordable or beyond MAX_SAFE_INTEGER. All three UI paths quote the price: app/business-panel.tsx:27, app/opening-panel.tsx:27, app/inn-business-scene.tsx. Curve verified: worker #2,000 = 408,406,219 vs the live client's '408.4M'. UNCHANGED by SL1-03/04 except that the CEILING the curve is quoted against is now the quality cap rather than a flat 5,000; the prices themselves are untouched and tests/staffing.test.mjs 'budget-max and quote boundaries' still pins them across all 57 bands."
SL1-06,Buildings,DISPROVEN: the 75x price shortfall,n/a,n/a,n/a,n/a,n/a,P0,1,Reference,"[NOT RE-VERIFIED] Earlier work assumed Everkai's prices were the problem and simulated a 75x shortfall. That simulation was arithmetic on the broken income model. Disregard it — it is recorded here so it is not re-derived. | 2026-09-15 TRIAGE: reclassified Done -> Reference. The row's Item literally begins ""DISPROVEN:"" and its What-parity-requires, Current-status, Source-of-truth, Numbers-or-Flow and Effort columns are all n/a. It exists only so the 75x shortfall is not re-derived; there is nothing to do, and Done read as though a 75x gap had been closed. Its subject matter is now doubly moot: SL1-02 and SL1-14 record that the income model it was arithmetic on was the broken half, and default-mode power now measures 1.17x the original rather than short."
SL1-07,Buildings,Service Level (bsLevel) ladder,"BuildingBusiness.json holds 3,000 rows of {Cost, Power, StaffNum} SHARED by every building (businessInfo uses nowCfg.Cost with no per-building multiplier). Cost level to level+1 = BuildingBusiness[level].Cost. Gated on staff >= BuildingBusiness[level+1].StaffNum (only four distinct values: 2000/3000/4000/7000). Power grants Fellow power by the building country/type. Cap = 3,000.",No equivalent ladder exists at all,BuildingBusiness.json,Numbers (trusted exception),M,P1,1,Measured - not implemented,"[MEASURED IN FULL 2026-09-15, NOT IMPLEMENTED -- deliberate: it is an economy-moving new power faucet and belongs to the owner, not to a slice pass.] EXACT SPEC, all from BuildingBusiness.json (dict-wrapped, 3,000 rows, shared by every building with no per-building multiplier): row shape is {_id, Cost (string, sometimes scientific notation), Power (int), StaffNum (int)}. Cost of level L -> L+1 is row[L].Cost. ROW 3000 CARRIES NO Cost FIELD -- the table marks its own terminus, so the cap of 3,000 is a read, not a choice. Cost and Power are both monotonic. Level 1 = {Cost 10,000,000, Power 0}; level 2 = {Cost 10,100,000, Power 100} -- exactly what the live Inn panel renders ('Upgrade x1 / 10M', '+0', 'Next 1 levels: +100'), which is why this row said every building sits at bsLevel 1. Power is ABSOLUTE, not a delta: 0 / 100 / 910 / 11,510 / 115,700 / 633,200 / 13,290,000 / 265,700,000 at levels 1 / 2 / 10 / 100 / 501 / 1001 / 2001 / 3000. StaffNum gate has exactly four values and changes at fixed levels: 2000 for levels 1-500, 3000 for 501-1000, 4000 for 1001-2000, 7000 for 2001-3000 (500/500/1000/1000 rows) -- so the gate is on staff >= row[L+1].StaffNum as this row said. Cumulative gold: 1.678e9 to level 100, 1.423e11 to 500, 2.075e13 to 1000, 9.116e21 to 3000. BALANCE FACTS THE OWNER NEEDS BEFORE THIS SHIPS: (1) under Everkai's 1e12 gold clamp only bsLevel 695 is reachable per building (cumulative 9.968e11), worth Power 233,200; (2) Power 265,700,000 at the cap is 88x Everkai's ENTIRE reachable Fellow roster (3,026,482, tests/fellow-power.test.mjs), so importing the ladder whole would make Fellows irrelevant to income. Recommend truncating at the gold clamp (695) or re-scaling Power, both of which are decisions."
SL1-08,Buildings,Route city_building_bs_level_up,Service Level upgrade clickable end to end in the emulator,Implemented and unblocked on the private server this session,"private server village.py; request shape {buildingId, count} to {r, building, items}",Flow,S,P1,1,Done,"[NOT RE-VERIFIABLE FROM THIS REPO 2026-09-15] Was 3 REQUEST / 3x 999 as of Sep 11 07:07 against the private server; that tree is outside /Users/westmanfamily/everkai, same as DATA-05. Left Done as generated. NOTE for whoever re-checks it: the route is only worth exercising once SL1-07 is decided, and SL1-07 is now fully specified above."
SL1-09,Buildings,Route city_building_enhance_attribute / building attrs,"Allocates points into two attributes carrying {level, charge, hitFactor:10000} with a PROBABILISTIC outcome — the client passes prob and energy and compares nowLevel \~= building.attrs[attrId].level to decide success. Unlocked by SystemUnlock(BuildingPoint) on two conditions: bsLevel >= N AND server-days >= N.",ABSENT. All live buildings have attrs: [] so this has never been exercised anywhere.,BuildingAddPoint (names 'Operations' and 'Marketing'); route returns 999,Flow (semantics genuinely unrecovered),M,P1,1,Blocked - 999,[NOT RE-VERIFIED] The one part of slice 1 whose semantics are not recovered. 999 policy is satisfied: the path leads to content Everkai will build (see OQ-05).
SL1-10,Buildings,Route city_cut_ribbon,Ribbon-cutting flow on opening a building,ABSENT,private server; route returns 999,Flow,S,P3,1,Blocked - 999,[NOT RE-VERIFIED] 999 policy says fix a blocked route only when the path leads to content Everkai will actually build. Decide first — see OQ-04.
